GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assign251_2,assign251_2,VelocityLayout,10,110,1,3,3,29,2,6,1,5
assign251_2,assign251_2,MemAppender,15,321,4,20,7,92,5,29,1,21
